depth (mm) [1-1],age (kyr BP) [1-1],sample () [1-1],238U () [1-1],238err () [1-1],232TH () [1-1],232err () [1-1],230TH/232Th () [1-1],230TH/232Th_err () [1-1],d234U () [1-1],d234U_err () [1-1],230Th/238U () [1-1],230Th/238U_err () [1-1],age_uncorrected () [1-1],age_uncorrected_err () [1-1],err () [1-1],depth (mm) [2-1],age (kyr BP) [2-1],sample () [2-1],c(Th) () [2-1],c(Th)_err () [2-1],c(U) () [2-1],c(U)_err () [2-1],234U/238U () [2-1],234U/238U_err () [2-1],230Th/232Th () [2-1],230Th/232Th_err () [2-1],230Th/234U () [2-1],230Th/234U_err () [2-1],err () [2-1]
80,0.248,So-1-M1,313.3,0.5,151.8,9.5,198.198,12.82,1032.963,3.528,0.006,0,0.313,0.005,0.006,121,0.494,So1-5,0.211,0.001,527.7,0.7,2.079,0.001,81,1,0.005,0,0.012
124,0.528,So-1-M2,470.3,0.9,129.9,10.1,632.411,49.411,961.715,6.844,0.011,0,0.59,0.006,0.006,157,1.019,So1-4,0.148,0.001,505.1,0.7,2.052,0.001,207.3,2.3,0.01,0,0.023
147,0.762,So-1-M3,496.5,0.8,133.7,10.2,951.415,73.088,1061.694,3.68,0.015,0,0.824,0.007,0.007,224,2.025,So1-3,0.349,0.002,386.3,1,2.088,0.001,133.6,1.3,0.019,0,0.034
192,1.549,So-1-M4,464.7,0.7,93.9,10.6,2479.886,281.405,1072.16,3.452,0.03,0,1.61,0.009,0.009,300,3.255,So1-6,0.522,0.003,400.4,0.5,2.048,0.001,143.7,1.4,0.03,0,0.056
218,1.94,So-1-M5,366.6,0.5,83.3,11,2769.926,365.773,1095.44,3.056,0.038,0,2.001,0.012,0.012,345,4.072,So1-64,0.383,0.004,411.6,0.6,2.063,0.002,250.9,3.3,0.037,0,0.078
243,2.458,So-1-M6,279.9,0.5,309.9,9.9,707.388,22.891,1066.509,4.083,0.048,0,2.531,0.014,0.016,365,4.502,So1-65,0.321,0.002,409.7,0.6,2.026,0.002,322.7,3.9,0.041,0,0.094
271,2.78,So-1-M7,372.6,0.6,304.4,10.1,1049.479,35.173,1011.953,3.608,0.052,0,2.85,0.016,0.017,380,4.704,So-1-56,0.499,0.003,471.4,0.7,1.942,0.002,238.7,2.3,0.043,0,0.08
302,3.284,So-1-M8,369.3,0.6,285.8,10.2,1321.158,47.494,1043.27,3.286,0.062,0,3.353,0.017,0.018,398,5.398,So-1-8,0.429,0.003,307.8,0.4,1.93,0.001,204.5,1.8,0.049,0,0.076
316,3.641,So-1-p,532.8,0.6,309.3,20.4,1930.592,128.678,1028.072,1.748,0.068,0.001,3.707,0.035,0.035,440,5.678,So-1-58,0.371,0.002,378.4,0.6,1.922,0.003,305.6,2.7,0.052,0,0.085
1033,11.313,So-1-1,335.2,0.3,373.4,12.7,2913.307,100.069,969.341,1.72,0.197,0.001,11.388,0.048,0.049,468,6.299,So-1-9,0.643,0.002,318.9,0.4,1.93,0.001,164.9,1.8,0.057,0.001,0.139
1042,11.83,So-1-2,355.2,0.4,431.5,13,2753.322,83.817,945.425,1.648,0.203,0.001,11.906,0.047,0.048,526,6.833,So-1-10,0.897,0.033,436.6,5.7,1.875,0.001,169.4,1.5,0.061,0.001,0.121
