depth (cm),age (BP),temperature (degC),uncertainty (missing),uncertainty (missing),reliable (missing)
1,15.6,17.012,18.255,15.768,y
12.5,197.88,18.237,19.699,16.776,y
24.5,393.63,17.432,18.833,16.031,y
36.5,595.06,18.226,19.711,16.741,y
50,828.45,18.794,20.261,17.327,y
61.5,1032.93,17.492,18.88,16.104,y
71.75,1219.57,17.912,19.498,16.325,y
82.5,1419.76,18.189,19.792,16.586,y
92.25,1605.27,18.016,19.415,16.617,y
103.25,1819.06,17.916,19.352,16.48,y
113.5,2022.56,17.795,19.076,16.514,y
123.5,2225.09,17.688,19.114,16.262,y
133.5,2431.56,18.902,20.311,17.493,y
143.25,2636.66,17.264,18.624,15.903,y
153.25,2850.91,18.29,19.797,16.783,y
163.25,3069.1,18.216,19.692,16.741,y
173.5,3296.84,18.957,20.488,17.425,y
183.5,3523.01,19.137,20.72,17.553,y
193.5,3753.12,17.06,18.403,15.717,y
203.5,3987.17,17.868,19.336,16.401,y
213.25,4219.16,17.517,18.817,16.217,y
223.25,4460.99,19.253,20.678,17.828,y
233,4700.57,18.329,19.743,16.915,y
243.5,4962.76,18.396,19.89,16.902,y
253.25,5210.12,18.169,19.52,16.819,y
263.5,5474.2,16.916,18.186,15.646,y
273.5,5735.83,17.977,19.366,16.588,y
283.25,5994.71,18.369,19.765,16.972,y
293.5,6270.91,18.616,20.083,17.149,y
303.5,6544.36,19.41,20.936,17.884,y
313.5,6821.74,18.448,19.983,16.913,y
323.25,7095.99,18.788,20.143,17.433,y
333.75,7395.52,17.524,18.858,16.19,y
343.25,7670.27,17.225,18.459,15.99,y
353.25,7963.32,15.991,17.19,14.792,y
363.25,8260.31,17.305,18.625,15.984,y
373.75,8576.39,17.443,18.676,16.21,y
383.25,8866.12,17.349,18.632,16.066,y
393.25,9174.93,16.911,18.313,15.509,y
403.25,9487.68,17.017,18.257,15.778,y
413.25,9804.37,17.363,18.789,15.938,y
423.75,10291.08,16.98,18.204,15.755,y
433.25,10791.7,17.297,18.521,16.073,y
443.25,11345,16.774,17.997,15.551,y
453.75,11956.53,15.139,16.342,13.937,y
457.25,12167.61,16.354,17.568,15.139,y
463.25,12538.17,16.012,17.194,14.83,y
467.25,12791.46,15.947,17.135,14.759,y
471.25,13049.85,14.979,16.167,13.791,y
479.25,13582.43,15.099,16.32,13.878,y
481.25,13718.94,14.927,16.151,13.702,y
487.25,14136.74,16.038,17.266,14.809,y
489.25,14278.82,14.466,15.664,13.268,y
492.75,14530.9,15.758,17.012,14.503,y
497.25,14861.55,14.857,16.09,13.624,y
499.5,15010.91,14.423,15.66,13.186,y
503.25,15314.15,14.348,15.547,13.149,y
