depth (cm),age (BP),OM_flux (g/cm2/yr)
1,355,0.122
2,392,0.118
3,429,0.125
4,466,0.143
5,502,0.148
6,539,0.155
7,576,0.162
8,612,0.112
9,649,0.096
10,686,0.105
11,723,0.106
12,759,0.1
13,796,0.106
14,833,0.089
15,870,0.102
16,906,0.11
17,943,0.12
18,980,0.142
19,1016,0.161
20,1053,0.129
21,1090,0.119
22,1127,0.112
23,1163,0.128
24,1200,0.114
25,1237,0.107
26,1274,0.122
27,1310,0.135
28,1347,0.134
29,1384,0.112
30,1421,0.115
31,1457,0.115
32,1494,0.107
33,1531,0.121
34,1567,0.13
35,1604,0.147
36,1641,0.134
37,1678,0.131
38,1715,0.157
39,1751,0.171
40,1788,0.122
41,1825,0.119
42,1862,0.115
43,1899,0.129
44,1936,0.113
45,1972,0.122
46,2009,0.121
47,2046,0.123
48,2083,0.111
49,2120,0.109
50,2157,0.111
51,2194,0.103
52,2231,0.09
53,2268,0.093
54,2305,0.102
55,2342,0.104
56,2379,0.1
57,2417,0.103
58,2454,0.118
59,2491,0.107
60,2528,0.105
61,2566,0.106
62,2603,0.116
63,2640,0.112
64,2678,0.104
65,2715,0.107
66,2752,0.108
67,2790,0.102
68,2827,0.102
69,2864,0.108
70,2902,0.096
71,2939,0.1
72,2977,0.104
73,3014,0.104
74,3051,0.11
75,3089,0.109
76,3126,0.128
77,3163,0.126
78,3200,0.128
79,3238,0.127
80,3275,0.122
81,3312,0.127
82,3349,0.126
83,3386,0.135
84,3423,0.125
85,3460,0.127
86,3497,0.111
87,3533,0.125
88,3570,0.12
89,3607,0.13
90,3644,0.124
91,3680,0.131
92,3717,0.131
93,3753,0.129
94,3790,0.119
95,3826,0.121
96,3862,0.122
97,3898,0.116
98,3934,0.117
99,3971,0.118
100,4006,0.129
101,4042,0.13
102,4078,0.136
103,4114,0.134
104,4150,0.131
105,4185,0.135
106,4221,0.132
107,4256,0.127
108,4292,0.121
109,4327,0.121
110,4362,0.121
111,4398,0.115
112,4433,0.118
113,4468,0.119
114,4503,0.117
115,4537,0.115
116,4572,0.115
117,4607,0.124
118,4641,0.123
119,4676,0.126
120,4710,0.133
121,4745,0.128
122,4779,0.134
123,4813,0.155
124,4847,0.129
125,4881,0.125
126,4915,0.131
127,4948,0.128
128,4982,0.127
129,5016,0.141
130,5049,0.132
131,5083,0.126
132,5117,0.122
133,5150,0.127
134,5183,0.128
135,5217,0.122
136,5250,0.134
137,5284,0.131
138,5317,0.14
139,5351,0.132
140,5384,0.136
141,5417,0.135
142,5451,0.128
143,5484,0.145
144,5518,0.134
145,5551,0.132
146,5585,0.127
147,5619,0.127
148,5653,0.129
149,5686,0.129
150,5720,0.128
151,5754,0.131
152,5788,0.128
153,5822,0.138
154,5857,0.119
155,5891,0.116
156,5926,0.116
157,5960,0.126
158,5995,0.12
159,6030,0.114
160,6065,0.122
161,6100,0.122
162,6135,0.124
163,6171,0.117
164,6206,0.121
165,6242,0.127
166,6278,0.147
167,6314,0.134
168,6350,0.134
169,6387,0.114
170,6424,0.127
171,6461,0.123
172,6498,0.118
173,6535,0.112
174,6572,0.125
175,6610,0.131
176,6648,0.122
177,6686,0.12
178,6725,0.12
179,6763,0.117
180,6802,0.115
181,6841,0.122
182,6881,0.122
183,6920,0.126
184,6960,0.121
185,7001,0.11
186,7041,0.133
187,7082,0.115
188,7123,0.114
189,7164,0.109
190,7206,0.123
191,7248,0.123
192,7290,0.117
193,7333,0.106
194,7376,0.107
195,7420,0.111
196,7464,0.106
197,7509,0.099
198,7554,0.096
199,7599,0.103
200,7645,0.103
201,7692,0.09
202,7739,0.084
203,7787,0.088
204,7836,0.088
205,7885,0.086
206,7935,0.081
207,7986,0.081
208,8037,0.074
209,8089,0.084
210,8142,0.091
211,8196,0.077
212,8250,0.07
213,8305,0.074
214,8361,0.079
215,8417,0.076
216,8474,0.076
217,8532,0.073
218,8589,0.069
219,8648,0.025
220,8707,0.076
221,8766,0.068
222,8825,0.067
223,8885,0.068
224,8946,0.067
225,9006,0.071
226,9067,0.075
227,9128,0.075
228,9189,0.077
229,9250,0.083
230,9311,0.075
231,9373,0.076
232,9434,0.072
233,9495,0.082
234,9557,0.075
235,9618,0.071
236,9680,0.077
237,9741,0.074
238,9802,0.069
239,9864,0.061
240,9925,0.069
241,9986,0.069
242,10048,0.067
243,10109,0.069
244,10171,0.06
245,10232,0.062
246,10293,0.059
247,10355,0.058
248,10416,0.058
249,10477,0.052
250,10539,0.066
251,10600,0.05
252,10661,0.053
253,10723,0.056
254,10784,0.054
255,10846,0.065
256,10907,0.078
257,10968,0.072
258,11030,0.065
259,11091,0.082
260,11152,0.07
261,11214,0.077
262,11275,0.076
263,11337,0.079
264,11398,0.081
265,11459,0.076
266,11521,0.069
267,11582,0.075
268,11643,0.026
