depth (mm),238U (ng/g),238U_error (ng/g),232Th (pg/g),232Th_error (pg/g),230Th/232Th (ratio),230Th/232Th_error (ratio),230Th/238U (ratio),230Th/238U_error (ratio),Measured_delta234U (permil),Measured_delta234U_error (permil),initial_delta234U (permil),initial_delta234U_error (permil),uncorrected_age (yrBP),uncorrected_age_error (yr),corrected_age_1950 (yrBP),corrected_age_1950_error (yrBP),corrected_age (yrBP),corrected_age_error (yr)
2,157.5,0.4,499,65,22,3,0.022,0.001,7921,8,7923,8,273,15,26,98,85,98
4,154.6,0.4,185,35,50,10,0.02,0.001,8155,7,7728,6,235,10,107,38,166,38
9,152.6,0.4,91,33,145,52,0.028,0.001,7721,6,7728,6,353,9,292,9,351,9
14.5,154.4,0.4,60,35,330,191,0.042,0.001,8104,6,8115,6,501,10,420,20,479,20
18.5,143.2,0.5,81,36,289,129,0.053,0.001,7991,17,8005,17,647,1,555,28,614,28
24,155.6,0.4,100,32,290,94,0.061,0.001,8174,8,8190,8,727,10,631,24,690,24
29,150.9,0.4,110,39,698,247,0.167,0.002,8790,8,8836,9,1875,17,1776,30,1835,30
33.5,152.6,0.4,225,34,648,97,0.312,0.002,7513,6,7598,7,4055,24,3906,53,3965,53
44,144.6,0.4,163,35,930,201,0.344,0.002,7144,7,7207,7,4702,205,4570,49,4629,49
53,149,0.4,126,34,1411,377,0.391,0.003,9616,7,7023,7,5491,37,5376,49,5435,49
70,107.8,0.3,192,46,920,219,0.537,0.003,8645,14,8796,15,6201,41,6045,67,6104,67
83,143.2,0.5,159,38,1377,31,0.501,0.003,7402,13,7541,13,6655,47,6527,60,6586,60
103,146.2,0.4,185,44,1305,314,0.54,0.003,7431,10,7582,10,769,44,7032,62,7091,62
113,137.5,0.4,453,37,633,52,0.682,0.004,6771,8,6959,8,9911,54,9633,123,9692,123
128,131.8,0.4,933,35,301,12,0.698,0.005,6561,9,6748,10,10439,84,9895,256,9954,256
140,128.3,0.4,1421,38,221,6,0.801,0.004,7116,13,7330,15,11181,66,10417,359,10476,359
151,121,0.3,808,40,381,19,0.833,0.005,7115,9,7345,10,11652,69,11169,223,11228,223
156,182.7,0.6,90,51,35405,20025,5.718,0.026,9196,17,11477,27,78423,496,78343,496,78402,496
