year (AD),age (BP),temperature (degC)
1640,310,8.508
1629,321,9.298
1619,331,9.016
1609,341,10.498
1600,350,10.498
1590,360,7.617
1581,369,8.825
1571,379,8.767
1562,388,7.459
1552,398,8.403
1542,408,9.272
1533,417,8.797
1507,443,8.772
1483,467,9.066
1459,491,9.552
1435,515,8.97
1411,539,11.92
1387,563,8.405
1363,587,10.578
1339,611,10.678
1315,635,13.154
1291,659,12.114
1267,683,9.191
1243,707,11.207
1219,731,8.559
1198,752,10.671
1175,775,8.33
1153,797,8.255
1131,819,8.745
1109,841,8.496
1086,864,9.689
1064,886,12.844
1020,930,11.088
998,952,10.479
975,975,11.228
953,997,7.95
935,1015,9.31
921,1029,9.144
906,1044,8.514
891,1059,8.94
876,1074,8.889
861,1089,8.62
845,1105,8.358
830,1120,8.022
815,1135,9.054
800,1150,8.669
785,1165,6.616
768,1182,9.964
742,1208,10.653
717,1233,8.358
692,1258,7.351
667,1283,9.072
643,1307,8.651
618,1332,8.967
591,1359,8.793
566,1384,8.928
537,1413,9.998
511,1439,10.31
485,1465,8.962
460,1490,8.445
434,1516,8.914
408,1542,9.296
382,1568,9.952
356,1594,9.011
331,1619,9.061
305,1645,9.484
279,1671,8.871
253,1697,10.169
228,1722,9.442
204,1746,9.01
179,1771,9.828
154,1796,8.46
129,1821,10.178
104,1846,8.56
79,1871,7.876
54,1896,8.239
29,1921,8.147
4,1946,9.099
-20,1970,8.53
-45,1995,8.19
-70,2020,8.478
-95,2045,8.645
-120,2070,8.259
-145,2095,8.933
-170,2120,8.314
-195,2145,8.803
-218,2168,7.462
-262,2212,8.143
-313,2263,7.361
-363,2313,7.829
-413,2363,7.694
-463,2413,7.969
-513,2463,7.863
-563,2513,8.118
-613,2563,7.441
-664,2614,7.787
-714,2664,7.807
-764,2714,7.664
-814,2764,7.362
-864,2814,7.276
-914,2864,8.183
-965,2915,8.057
-1015,2965,8.262
-1065,3015,8.072
-1115,3065,7.537
-1165,3115,8.37
-1215,3165,6.853
-1265,3215,6.708
-1316,3266,7.561
-1351,3301,6.955
-1380,3330,7.176
-1414,3364,7.924
-1448,3398,7.882
-1482,3432,8.351
-1517,3467,7.948
-1551,3501,8.028
-1585,3535,8.624
-1619,3569,9.374
-1653,3603,8.825
-1688,3638,8.433
-1733,3683,8.86
-1767,3717,8.938
-1801,3751,9.055
-1835,3785,8.299
-1870,3820,8.145
-1904,3854,8.603
-1938,3888,8.279
-1972,3922,9.312
-2006,3956,9.34
-2041,3991,9.427
-2075,4025,8.812
-2109,4059,8.724
-2143,4093,8.745
-2178,4128,9.009
-2212,4162,9.033
-2246,4196,8.668
-2280,4230,8.82
-2314,4264,9.061
-2349,4299,9.052
-2383,4333,9.012
-2417,4367,8.779
-2451,4401,9.069
-2486,4436,8.931
-2520,4470,9.19
-2554,4504,9.854
-2588,4538,9.093
-2622,4572,8.976
-2657,4607,8.303
-2691,4641,8.95
-2725,4675,9.728
-2759,4709,10.448
-2794,4744,9.138
-2866,4816,8.96
-2948,4898,9.074
-3030,4980,9.749
-3112,5062,9.45
-3194,5144,9.88
-3276,5226,9.808
-3359,5309,9.887
-3441,5391,10.118
-3523,5473,10.464
-3605,5555,10.202
-3687,5637,11.46
-3769,5719,13.12
-3851,5801,13.086
-3933,5883,13.498
-4015,5965,12.116
-4097,6047,11.57
-4179,6129,12.43
-4261,6211,11.524
-4343,6293,11.141
-4425,6375,11.079
-4507,6457,10.942
-4605,6555,11.485
-4655,6605,10.829
-4705,6655,10.945
-4755,6705,10.021
-4806,6756,10.553
-4856,6806,10.894
-4906,6856,10.294
-4956,6906,9.897
-5006,6956,10.502
-5056,7006,10.272
-5106,7056,10.489
-5157,7107,9.381
-5208,7158,9.876
-5258,7208,9.478
-5308,7258,8.575
-5349,7299,9.977
-5370,7320,11.943
-5386,7336,14.853
-5417,7367,12.297
-5432,7382,12.889
-5447,7397,12.935
-5462,7412,11.898
-5477,7427,11.434
-5492,7442,11.368
-5507,7457,11.394
-5523,7473,11.868
-5538,7488,10.117
-5553,7503,9.936
-5568,7518,9.685
-5583,7533,9.55
-5598,7548,10.323
-5613,7563,10.437
-5628,7578,10.1
-5644,7594,12.465
-5659,7609,11.719
-5674,7624,12.762
-5689,7639,12.655
-5704,7654,11.733
-5719,7669,11.987
-5734,7684,11.409
-5750,7700,11.343
-5765,7715,13.948
-5780,7730,12.549
-5795,7745,12.243
-5810,7760,10.271
-5825,7775,9.977
-5840,7790,9.686
