year (year ce),age (BP),temperature (degC),uncertainty.temperature (degC),uncertainty.temperature (degC)
2005,-55,6.804,5.144,8.464
2004,-54,6.013,4.353,7.673
2003,-53,6.574,4.914,8.234
2001,-51,6.827,5.167,8.487
2000,-50,6.424,4.764,8.084
1998,-48,6.504,4.844,8.164
1996,-46,6.509,4.849,8.169
1994,-44,6.062,4.402,7.722
1992,-42,5.913,4.253,7.573
1989,-39,5.568,3.908,7.228
1986,-36,5.672,4.012,7.332
1983,-33,5.545,3.885,7.205
1980,-30,5.717,4.057,7.377
1977,-27,6.181,4.521,7.84
1973,-23,6.542,4.881,8.201
1969,-19,6.901,5.241,8.561
1966,-16,7.34,5.68,9
1961,-11,6.65,4.99,8.31
1957,-7,6.547,4.887,8.207
1953,-3,6.73,5.07,8.39
1948,2,6.306,4.646,7.966
1944,6,6.021,4.361,7.681
1939,11,5.551,3.891,7.211
1934,16,5.44,3.78,7.1
1929,21,5.371,3.711,7.031
1924,26,5.397,3.737,7.057
1918,32,6.069,4.409,7.729
1912,38,5.91,4.25,7.57
1906,44,5.832,4.172,7.492
1900,50,6.067,4.407,7.727
1893,57,5.986,4.326,7.646
1887,63,5.352,3.692,7.012
1880,70,5.015,3.355,6.675
1873,77,4.981,3.321,6.641
1867,83,4.792,3.132,6.452
1860,90,4.687,3.027,6.347
1852,98,4.81,3.15,6.47
1844,106,5.013,3.353,6.673
1837,113,5.446,3.786,7.106
1829,121,5.535,3.875,7.195
1820,130,5.891,4.231,7.551
1812,138,5.837,4.177,7.497
1803,147,5.829,4.169,7.489
1794,156,5.727,4.067,7.387
1786,164,5.393,3.733,7.053
1777,173,5.735,4.075,7.395
1767,183,7.286,5.626,8.946
1759,191,7.404,5.745,9.065
1752,198,6.152,4.492,7.812
1746,204,5.584,3.924,7.244
1739,211,5.968,4.308,7.628
1733,217,6.012,4.352,7.672
1728,222,6.152,4.492,7.811
1722,228,6.109,4.449,7.769
1712,238,5.789,4.129,7.449
1705,245,5.688,4.028,7.348
1698,252,6.064,4.404,7.724
1691,259,5.327,3.667,6.987
1684,266,5.674,4.014,7.334
1677,273,5.959,4.299,7.619
1669,281,5.612,3.952,7.272
1662,288,6.546,4.886,8.206
1657,293,6.768,5.108,8.428
1650,300,6.2,4.54,7.86
1640,310,5.753,4.093,7.413
1632,318,5.983,4.323,7.643
1625,325,5.53,3.87,7.191
1617,333,6.253,4.593,7.913
1609,341,6.453,4.793,8.113
1601,349,6.052,4.392,7.712
1593,357,6.209,4.549,7.869
1585,365,5.272,3.612,6.932
1577,373,5.143,3.482,6.803
1569,381,5.966,4.306,7.626
1561,389,5.122,3.462,6.782
1553,397,5.233,3.573,6.893
1545,405,5.308,3.648,6.968
1536,414,5.118,3.458,6.778
1528,422,6.207,4.547,7.867
1519,431,7.778,6.118,9.438
1510,440,7.686,6.026,9.346
1502,448,6.606,4.946,8.266
1493,457,8.308,6.648,9.968
1484,466,8.27,6.61,9.93
1473,477,7.079,5.419,8.739
1461,489,6.353,4.693,8.013
1449,501,6.73,5.07,8.39
1437,513,6.082,4.423,7.742
1424,526,6.56,4.9,8.22
1412,538,6.383,4.723,8.043
1399,551,5.329,3.669,6.989
1386,564,6.062,4.402,7.722
1373,577,5.855,4.195,7.515
1360,590,5.63,3.97,7.29
1347,603,5.244,3.584,6.904
1334,616,4.672,3.012,6.332
1321,629,5.646,3.986,7.306
1308,642,5.366,3.706,7.026
1295,655,6.219,4.559,7.879
1281,669,6.557,4.897,8.217
1268,682,6.746,5.086,8.406
1254,696,6.269,4.609,7.929
1240,710,5.402,3.742,7.062
1226,724,5.409,3.749,7.069
1213,737,4.434,2.774,6.094
1199,751,4.675,3.015,6.335
1185,765,4.384,2.724,6.044
