age (BP),temperature (degC)
-56,-28.718
-54.27,-29.556
-52.54,-29.843
-50.81,-29.914
-49.07,-30.066
-47.34,-30.227
-45.61,-29.856
-43.88,-29.529
-42.15,-29.153
-40.42,-29.853
-38.69,-30.08
-36.95,-30.126
-35.22,-30.16
-33.49,-30.184
-31.76,-30.201
-30.03,-30.199
-28.3,-30.205
-26.56,-30.202
-24.83,-30.2
-23.1,-30.189
-21.37,-30.171
-19.64,-30.161
-17.91,-30.132
-16.18,-30.094
-14.44,-30.071
-12.71,-30.047
-10.98,-30.019
-9.25,-30.006
-7.52,-29.996
-5.79,-29.999
-4.06,-30.006
-2.32,-30.018
-0.59,-30.034
1.14,-30.042
2.87,-30.056
4.6,-30.075
6.33,-30.09
8.06,-30.111
9.8,-30.12
11.53,-30.132
13.26,-30.143
14.99,-30.146
16.72,-30.149
18.45,-30.154
20.18,-30.154
21.92,-30.14
23.65,-30.123
25.38,-30.117
27.11,-30.096
28.84,-30.073
30.57,-30.055
32.31,-30.039
34.04,-30.031
35.77,-30.036
37.5,-30.032
39.23,-30.039
40.96,-30.052
42.69,-30.062
44.43,-30.064
46.16,-30.071
47.89,-30.077
49.62,-30.088
51.35,-30.11
53.08,-30.141
54.81,-30.174
56.55,-30.198
58.28,-30.213
60.01,-30.226
61.74,-30.235
63.47,-30.259
65.2,-30.277
66.93,-30.287
68.67,-30.306
70.4,-30.317
72.13,-30.336
73.86,-30.372
75.59,-30.385
77.32,-30.399
79.05,-30.413
80.79,-30.42
82.52,-30.436
84.25,-30.444
85.98,-30.45
87.71,-30.452
89.44,-30.445
91.18,-30.445
92.91,-30.432
94.64,-30.422
96.37,-30.418
98.1,-30.404
99.83,-30.389
101.56,-30.368
103.3,-30.347
105.03,-30.33
106.76,-30.317
108.49,-30.307
110.22,-30.296
111.95,-30.28
113.68,-30.277
115.42,-30.279
117.15,-30.297
118.88,-30.325
120.61,-30.345
122.34,-30.365
124.07,-30.38
125.8,-30.408
127.54,-30.441
129.27,-30.464
131,-30.48
132.73,-30.496
134.46,-30.513
136.19,-30.547
137.92,-30.581
139.66,-30.599
141.39,-30.605
143.12,-30.602
144.85,-30.588
146.58,-30.566
148.31,-30.575
150.05,-30.573
151.78,-30.571
153.51,-30.583
155.24,-30.59
156.97,-30.6
158.7,-30.613
160.43,-30.611
162.17,-30.565
163.9,-30.523
165.63,-30.487
167.36,-30.451
169.09,-30.429
170.82,-30.422
172.55,-30.406
174.29,-30.374
176.02,-30.346
177.75,-30.304
179.48,-30.277
181.21,-30.26
182.94,-30.244
184.67,-30.246
186.41,-30.278
188.14,-30.326
189.87,-30.381
191.6,-30.442
193.33,-30.485
195.06,-30.515
196.79,-30.519
198.53,-30.527
200.26,-30.531
201.99,-30.545
203.72,-30.554
205.45,-30.564
207.18,-30.564
208.92,-30.552
210.65,-30.519
212.38,-30.492
214.11,-30.448
215.84,-30.406
217.57,-30.371
219.3,-30.347
221.04,-30.349
222.77,-30.361
224.5,-30.375
226.23,-30.405
227.96,-30.428
229.69,-30.442
231.42,-30.466
233.16,-30.489
234.89,-30.5
236.62,-30.495
238.35,-30.478
240.08,-30.467
241.81,-30.452
243.54,-30.434
245.28,-30.415
247.01,-30.39
248.74,-30.351
250.47,-30.294
252.2,-30.218
253.93,-30.137
255.66,-30.065
257.4,-30.004
259.13,-29.953
260.86,-29.932
262.59,-29.949
264.32,-29.978
266.05,-29.991
267.79,-30.008
269.52,-30.002
271.25,-29.985
272.98,-29.975
274.71,-29.983
276.44,-29.999
278.17,-30.039
279.91,-30.057
281.64,-30.065
283.37,-30.077
285.1,-30.07
286.83,-30.056
288.56,-30.012
290.29,-29.989
292.03,-29.978
293.76,-29.976
295.49,-29.985
297.22,-29.996
298.95,-30.013
300.68,-30.032
302.41,-30.049
304.15,-30.075
305.88,-30.113
307.61,-30.14
309.34,-30.168
311.07,-30.19
312.8,-30.213
314.53,-30.23
316.27,-30.232
318,-30.232
319.73,-30.238
321.46,-30.237
323.19,-30.223
324.92,-30.204
326.66,-30.18
328.39,-30.154
330.12,-30.132
331.85,-30.111
333.58,-30.091
335.31,-30.066
337.04,-30.046
338.78,-30.047
340.51,-30.056
342.24,-30.069
343.97,-30.097
345.7,-30.126
347.43,-30.159
349.16,-30.2
350.9,-30.235
352.63,-30.26
354.36,-30.291
356.09,-30.317
357.82,-30.34
359.55,-30.379
361.28,-30.405
363.02,-30.421
364.75,-30.417
366.48,-30.411
368.21,-30.399
369.94,-30.384
371.67,-30.368
373.4,-30.347
375.14,-30.324
376.87,-30.303
378.6,-30.282
380.33,-30.261
382.06,-30.244
383.79,-30.228
385.53,-30.217
387.26,-30.212
388.99,-30.21
390.72,-30.21
392.45,-30.209
394.18,-30.206
395.91,-30.21
397.65,-30.226
399.38,-30.252
401.11,-30.284
402.84,-30.316
404.57,-30.344
406.3,-30.363
408.03,-30.373
409.77,-30.376
411.5,-30.373
413.23,-30.37
414.96,-30.373
416.69,-30.375
418.42,-30.371
420.15,-30.355
421.89,-30.333
423.62,-30.307
425.35,-30.281
427.08,-30.258
428.81,-30.239
430.54,-30.222
432.27,-30.208
434.01,-30.195
435.74,-30.185
437.47,-30.179
439.2,-30.176
440.93,-30.179
442.66,-30.189
444.4,-30.203
446.13,-30.215
447.86,-30.223
449.59,-30.224
451.32,-30.218
453.05,-30.212
454.78,-30.209
456.52,-30.214
458.25,-30.228
459.98,-30.247
461.71,-30.265
463.44,-30.277
465.17,-30.279
466.9,-30.275
468.64,-30.271
470.37,-30.273
472.1,-30.282
473.83,-30.295
475.56,-30.309
477.29,-30.324
479.02,-30.336
480.76,-30.341
482.49,-30.339
484.22,-30.332
485.95,-30.33
487.68,-30.336
489.41,-30.354
491.14,-30.379
492.88,-30.402
494.61,-30.413
496.34,-30.415
498.07,-30.412
499.8,-30.407
501.53,-30.399
503.27,-30.387
505,-30.375
506.73,-30.367
508.46,-30.368
510.19,-30.372
511.92,-30.374
513.65,-30.368
515.39,-30.353
517.12,-30.33
518.85,-30.302
520.58,-30.27
522.31,-30.234
524.04,-30.199
525.77,-30.171
527.51,-30.15
529.24,-30.135
530.97,-30.122
532.7,-30.1
534.43,-30.063
536.16,-30.017
537.89,-29.971
539.63,-29.931
541.36,-29.905
543.09,-29.9
544.82,-29.916
546.55,-29.957
548.28,-30.012
550.01,-30.065
551.75,-30.111
553.48,-30.152
555.21,-30.189
556.94,-30.229
558.67,-30.278
560.4,-30.333
562.14,-30.391
563.87,-30.448
565.6,-30.499
567.33,-30.541
569.06,-30.571
570.79,-30.586
572.52,-30.585
574.26,-30.578
575.99,-30.572
577.72,-30.574
579.45,-30.581
581.18,-30.587
582.91,-30.594
584.64,-30.603
586.38,-30.611
588.11,-30.617
589.84,-30.616
591.57,-30.611
593.3,-30.604
595.03,-30.597
596.76,-30.594
598.5,-30.595
600.23,-30.597
601.96,-30.594
603.69,-30.584
605.42,-30.567
607.15,-30.545
608.88,-30.519
610.62,-30.49
612.35,-30.461
614.08,-30.435
615.81,-30.409
617.54,-30.382
619.27,-30.352
621.01,-30.318
622.74,-30.285
624.47,-30.254
626.2,-30.228
627.93,-30.209
629.66,-30.195
631.39,-30.187
633.13,-30.184
634.86,-30.185
636.59,-30.398
638.32,-30.398
640.05,-30.397
641.78,-30.397
643.51,-30.397
645.25,-30.397
646.98,-30.396
648.71,-30.393
650.44,-30.391
652.17,-30.388
653.9,-30.384
655.63,-30.38
657.37,-30.375
659.1,-30.37
660.83,-30.365
662.56,-30.359
664.29,-30.352
666.02,-30.346
667.76,-30.34
669.49,-30.334
671.22,-30.328
672.95,-30.323
674.68,-30.318
676.41,-30.312
678.14,-30.306
679.88,-30.3
681.61,-30.294
683.34,-30.288
685.07,-30.282
686.8,-30.276
688.53,-30.27
690.26,-30.264
692,-30.258
693.73,-30.253
695.46,-30.247
697.19,-30.241
698.92,-30.234
700.65,-30.228
702.38,-30.223
704.12,-30.219
705.85,-30.215
707.58,-30.213
709.31,-30.21
711.04,-30.208
712.77,-30.206
714.5,-30.204
716.24,-30.202
717.97,-30.2
719.7,-30.2
721.43,-30.201
723.16,-30.202
724.89,-30.203
726.63,-30.203
728.36,-30.203
730.09,-30.203
731.82,-30.203
733.55,-30.203
735.28,-30.202
737.01,-30.203
738.75,-30.203
740.48,-30.204
742.21,-30.205
743.94,-30.205
745.67,-30.206
747.4,-30.207
749.13,-30.208
750.87,-30.21
752.6,-30.213
754.33,-30.216
756.06,-30.221
757.79,-30.226
759.52,-30.231
761.25,-30.238
762.99,-30.245
764.72,-30.253
766.45,-30.26
768.18,-30.267
769.91,-30.274
771.64,-30.28
773.37,-30.287
775.11,-30.294
776.84,-30.3
778.57,-30.306
780.3,-30.312
782.03,-30.318
783.76,-30.324
785.5,-30.329
787.23,-30.333
788.96,-30.337
790.69,-30.341
792.42,-30.345
794.15,-30.349
795.88,-30.354
797.62,-30.358
799.35,-30.363
801.08,-30.368
802.81,-30.371
804.54,-30.373
806.27,-30.374
808,-30.375
809.74,-30.375
811.47,-30.375
813.2,-30.375
814.93,-30.375
816.66,-30.374
818.39,-30.373
820.12,-30.371
821.86,-30.368
823.59,-30.365
825.32,-30.362
827.05,-30.359
828.78,-30.357
830.51,-30.354
832.24,-30.351
833.98,-30.348
835.71,-30.345
837.44,-30.342
839.17,-30.338
840.9,-30.334
842.63,-30.329
844.37,-30.324
846.1,-30.319
847.83,-30.314
849.56,-30.309
851.29,-30.304
853.02,-30.299
854.75,-30.293
856.49,-30.287
858.22,-30.28
859.95,-30.273
861.68,-30.265
863.41,-30.257
865.14,-30.249
866.87,-30.241
868.61,-30.234
870.34,-30.227
872.07,-30.22
873.8,-30.212
875.53,-30.205
877.26,-30.198
878.99,-30.191
880.73,-30.184
882.46,-30.177
884.19,-30.17
885.92,-30.163
887.65,-30.156
889.38,-30.151
891.11,-30.145
892.85,-30.14
894.58,-30.134
896.31,-30.128
898.04,-30.122
899.77,-30.116
901.5,-30.111
903.24,-30.106
904.97,-30.101
906.7,-30.096
908.43,-30.091
910.16,-30.086
911.89,-30.083
913.62,-30.081
915.36,-30.079
917.09,-30.077
918.82,-30.076
920.55,-30.075
922.28,-30.073
924.01,-30.072
925.74,-30.071
927.48,-30.069
929.21,-30.067
930.94,-30.065
932.67,-30.062
934.4,-30.06
936.13,-30.057
937.86,-30.055
939.6,-30.052
941.33,-30.05
943.06,-30.047
944.79,-30.044
946.52,-30.042
948.25,-30.04
949.98,-30.039
951.72,-30.038
953.45,-30.038
955.18,-30.038
956.91,-30.037
958.64,-30.037
960.37,-30.037
962.11,-30.037
963.84,-30.036
965.57,-30.035
967.3,-30.034
969.03,-30.031
970.76,-30.029
972.49,-30.026
974.23,-30.023
975.96,-30.021
977.69,-30.019
979.42,-30.017
981.15,-30.016
982.88,-30.015
984.61,-30.015
986.35,-30.015
988.08,-30.016
989.81,-30.016
991.54,-30.015
993.27,-30.014
995,-30.013
996.73,-30.012
998.47,-30.011
1000.2,-30.011
1001.93,-30.011
1003.66,-30.012
1005.39,-30.013
1007.12,-30.014
1008.85,-30.015
1010.59,-30.016
1012.32,-30.016
1014.05,-30.016
1015.78,-30.014
1017.51,-30.012
1019.24,-30.01
1020.98,-30.007
1022.71,-30.004
1024.44,-30.001
1026.17,-29.999
1027.9,-29.997
1029.63,-29.995
1031.36,-29.993
1033.1,-29.992
1034.83,-29.99
1036.56,-29.988
1038.29,-29.987
1040.02,-29.986
1041.75,-29.985
1043.48,-29.984
1045.22,-29.982
1046.95,-29.981
1048.68,-29.979
1050.41,-29.975
1052.14,-29.971
1053.87,-29.966
1055.6,-29.96
1057.34,-29.955
1059.07,-29.949
1060.8,-29.943
1062.53,-29.938
1064.26,-29.933
1065.99,-29.929
1067.72,-29.925
1069.46,-29.921
1071.19,-29.918
1072.92,-29.915
1074.65,-29.912
1076.38,-29.908
1078.11,-29.904
1079.85,-29.9
1081.58,-29.896
1083.31,-29.891
1085.04,-29.886
1086.77,-29.881
1088.5,-29.875
1090.23,-29.87
