depth (cm),dateType (),measurementMaterial (),sensorSpecies (),labID (),age14C (kyr),age14CUncertainty (kyr),age14CHi (kyr),age14CLow (kyr),reservoirAge (kyr),notes ()
20,14C,planktic foraminifera,"G.ruber, G. sacculifer, G. aequilateralis",KIA 46245,1.375,0.025,NA,NA,0.14,"reservoir age correction after Southon et al., 2002"
88,14C,planktic foraminifera,"G. sacculifer, G. aequilateralis, G. conglobatus",KIA 43717,2.555,NA,0.035,0.03,0.14,"reservoir age correction after Southon et al., 2002"
112,14C,planktic foraminifera,"G. sacculifer, G. aequilateralis, G. conglobatus",KIA 43716,3.175,0.035,NA,NA,0.14,"reservoir age correction after Southon et al., 2002"
160,14C,planktic foraminifera,"G. sacculifer, G. aequilateralis, G. conglobatus",KIA 43715,3.995,0.03,NA,NA,0.14,"reservoir age correction after Southon et al., 2002"
272,14C,planktic foraminifera,"G.ruber, G. sacculifer, G. aequilateralis",KIA 44976,6.225,0.035,NA,NA,0.14,"reservoir age correction after Southon et al., 2002"
308,14C,planktic foraminifera,"G. sacculifer, G. aequilateralis, G. conglobatus",KIA 43714,7.82,0.045,NA,NA,0.14,"reservoir age correction after Southon et al., 2002"
344,14C,planktic foraminifera,"G.ruber, G. sacculifer, G. aequilateralis",KIA 46244,8.305,0.04,NA,NA,0.14,"reservoir age correction after Southon et al., 2002"
420,14C,planktic foraminifera,"G.ruber, G. sacculifer, G. aequilateralis",KIA 44977,9.795,0.05,NA,NA,0.14,"reservoir age correction after Southon et al., 2002"
444,14C,planktic foraminifera,"G.ruber, G. sacculifer, G. aequilateralis",KIA 44978,10.52,0.055,NA,NA,0.14,"reservoir age correction after Southon et al., 2002"
461,14C,planktic foraminifera,"G.ruber, G. sacculifer, G. aequilateralis",KIA 46243,11.685,0.055,NA,NA,0.14,"reservoir age correction after Southon et al., 2002"
468,14C,planktic foraminifera,"G.ruber, G. sacculifer, G. aequilateralis",KIA 44979,12.59,0.06,NA,NA,0.14,"reservoir age correction after Southon et al., 2002"
488,14C,planktic foraminifera,"G.ruber, G. sacculifer, G. aequilateralis",KIA 46242,13.98,0.07,NA,NA,0.14,"reservoir age correction after Southon et al., 2002"
500,14C,planktic foraminifera,"G. sacculifer, G. aequilateralis, G. conglobatus",KIA 43713,15.7,NA,0.13,0.12,0.14,"reservoir age correction after Southon et al., 2002"
504,14C,planktic foraminifera,"G.ruber, G. sacculifer, G. aequilateralis",KIA 44424,15.71,0.08,NA,NA,0.14,"reservoir age correction after Southon et al., 2002"
524,14C,planktic foraminifera,"G.ruber, G. sacculifer, G. aequilateralis",KIA 46241,21.09,0.14,NA,NA,0.14,"reservoir age correction after Southon et al., 2002"
572,14C,planktic foraminifera,"G.ruber, G. sacculifer, G. aequilateralis",KIA 44980,34.46,NA,0.77,0.7,0.14,"reservoir age correction after Southon et al., 2002"
