year (AD),age (BP),depth (cm),greyscale (percent),ash (percent),HIndex (missing)
1880,70,2,56,38.13,0.13
1860,90,3,55.75,34.79,0.14
1830,120,4,55.81,30.38,0.15
1810,140,5,56.28,33.09,0.17
1790,160,6,56.76,34.49,0.18
1760,190,7,57.16,32.8,0.19
1740,210,8,57.37,28.85,0.2
1720,230,9,57.27,27.76,0.21
1690,260,10,56.99,23.08,0.21
1670,280,11,56.61,21.98,0.21
1650,300,12,56.3,23.02,0.21
1620,330,13,56.33,24.21,0.21
1600,350,14,56.6,25.19,0.22
1570,380,15,56.56,26.89,0.22
1550,400,16,57.21,31.07,0.23
1530,420,17,57.79,33.61,0.23
1500,450,18,58.12,35.88,0.24
1480,470,19,58.28,36.37,0.26
1460,490,20,58.81,35.91,0.28
1430,520,21,58.52,31.06,0.28
1410,540,22,58.1,28.34,0.27
1390,560,23,57.82,26.8,0.26
1360,590,24,57.74,24.46,0.24
1340,610,25,57.13,24.05,0.22
1320,630,26,56.96,25.53,0.21
1290,660,27,57.1,27.27,0.21
1270,680,28,57.53,29.31,0.22
1250,700,29,57.51,33.67,0.23
1220,730,30,58.13,35.44,0.25
1200,750,31,58.39,35.67,0.25
1180,770,32,58.43,34.19,0.25
1150,800,33,57.79,32.75,0.24
1130,820,34,57.33,29.68,0.22
1110,840,35,56.46,27.25,0.21
1080,870,36,56.01,25.07,0.21
1060,890,37,56.04,25.2,0.21
1040,910,38,56.38,22.9,0.21
1010,940,39,56.78,21.22,0.23
990,960,40,57.53,21.13,0.24
970,980,41,58.29,21.93,0.26
940,1010,42,58.48,21.57,0.27
920,1030,43,58.76,23.43,0.26
900,1050,44,58.94,25.52,0.27
870,1080,45,58.72,26.5,0.28
850,1100,46,58.48,29.88,0.27
820,1130,47,58.57,32.26,0.27
800,1150,48,58.5,32.3,0.27
780,1170,49,58.45,31.06,0.25
750,1200,50,58.49,31.29,0.24
730,1220,51,58.3,29.71,0.23
710,1240,52,58.36,28.31,0.24
680,1270,53,58.21,27.44,0.25
660,1290,54,58.53,29.05,0.27
640,1310,55,58.72,29.45,0.28
610,1340,56,58.96,32.07,0.28
590,1360,57,58.84,36.56,0.27
570,1380,58,59.05,42.4,0.27
540,1410,59,58.95,45.29,0.26
520,1430,60,59.1,45.76,0.26
500,1450,61,59.16,44.43,0.27
470,1480,62,59.4,41.03,0.27
450,1500,63,59.17,37.69,0.28
430,1520,64,59.25,38.32,0.27
400,1550,65,59.09,37.2,0.27
380,1570,66,58.85,34.74,0.26
360,1590,67,58.58,35.66,0.25
330,1620,68,58.54,35.26,0.24
310,1640,69,58.39,29.9,0.25
290,1660,70,58.33,26.89,0.26
260,1690,71,58.51,26.52,0.26
240,1710,72,58.06,24.84,0.26
220,1730,73,58.18,24.23,0.27
190,1760,74,58.26,26.77,0.27
170,1780,75,58.44,29.53,0.27
140,1810,76,58.69,30.34,0.29
120,1830,77,59.28,30.56,0.3
100,1850,78,59.49,31.76,0.3
70,1880,79,59.51,31.95,0.31
50,1900,80,59.65,32.35,0.31
30,1920,81,59.72,33.77,0.31
0,1950,82,59.53,35.17,0.31
-20,1970,83,59.49,37.64,0.31
-40,1990,84,59.42,37.75,0.3
-70,2020,85,59.27,38.9,0.29
-90,2040,86,58.96,37.89,0.28
-110,2060,87,59,36.1,0.28
-140,2090,88,58.95,32.67,0.27
-160,2110,89,58.88,30.91,0.27
-180,2130,90,58.74,29.85,0.28
-210,2160,91,58.73,28.62,0.28
-230,2180,92,58.64,26.55,0.29
-250,2200,93,58.49,24.14,0.3
-280,2230,94,58.39,22.44,0.3
-300,2250,95,58.39,20.73,0.3
-320,2270,96,58.27,21.27,0.3
-350,2300,97,58.26,21.96,0.3
-370,2320,98,58.22,22.96,0.3
-390,2340,99,58.27,24.85,0.3
-420,2370,100,58.21,25.06,0.3
-440,2390,101,58.26,24.04,0.29
-460,2410,102,58.19,23.55,0.28
-490,2440,103,58.22,22.08,0.28
-510,2460,104,58.14,21.42,0.27
-530,2480,105,58.16,21.21,0.27
-560,2510,106,58.35,20.67,0.28
-580,2530,107,58.38,19.51,0.29
-610,2560,108,58.41,20.02,0.29
-630,2580,109,58.53,19.62,0.29
-650,2600,110,58.8,19.61,0.3
-680,2630,111,58.87,20.62,0.3
-700,2650,112,59.21,22.17,0.3
-720,2670,113,59.55,24.46,0.31
-750,2700,114,59.91,25.05,0.32
-770,2720,115,60.03,26.83,0.32
-790,2740,116,60.26,28.85,0.34
-820,2770,117,60.49,30.18,0.33
-840,2790,118,60.71,29.64,0.33
-860,2810,119,60.75,29.94,0.34
-890,2840,120,60.5,28.98,0.33
-910,2860,121,60.17,28.29,0.32
-930,2880,122,59.73,28.48,0.31
-960,2910,123,59.52,27.21,0.3
-980,2930,124,59.15,25.85,0.28
