year (AD),age (BP),temperature (degC)
1529,421,2.9
1462,488,3
1394,556,2.7
1326,624,2.6
1258,692,2.9
1190,760,3.1
1122,828,2.9
1054,896,2.9
986,964,3
918,1032,3.1
850,1100,3.3
787,1163,3.2
729,1221,2.9
671,1279,3.4
613,1337,3.4
555,1395,2.7
497,1453,3.2
439,1511,2.8
384,1566,3.2
331,1619,3.2
277,1673,2.9
224,1726,3
171,1779,3.1
64,1886,3.2
11,1939,3.4
-96,2046,2.9
-203,2153,2.5
-256,2206,2.6
-360,2310,2.6
-463,2413,2.5
-514,2464,2.5
-565,2515,2.6
-668,2618,2.5
-771,2721,3.3
-874,2824,3.2
-977,2927,3
-1028,2978,3.3
-1131,3081,3.2
-1234,3184,2.8
-1344,3294,2.6
-1402,3352,2.6
-1518,3468,2.3
-1576,3526,2.3
-1693,3643,2.2
-1809,3759,2.2
-1867,3817,2.4
-1984,3934,2.3
-2100,4050,2.7
-2158,4108,2.3
-2275,4225,2.3
-2391,4341,2.7
-2449,4399,2.4
-2566,4516,2.2
-2682,4632,2.3
-2740,4690,2.9
-2857,4807,2.8
-2973,4923,2.6
-3031,4981,2.5
-3148,5098,2.6
-3264,5214,4
-3302,5252,5
-3341,5291,4.5
-3379,5329,3.9
-3418,5368,4.5
-3456,5406,4
-3495,5445,3.9
-3572,5522,4.3
-3649,5599,3.8
-3687,5637,4
-3764,5714,4.3
-3803,5753,4.2
-3860,5810,5.2
-3899,5849,5.1
-3937,5887,4.3
-3976,5926,3.7
-4053,6003,4
-4091,6041,3.6
-4168,6118,2.3
-4245,6195,2.5
-4284,6234,2.8
-4361,6311,3.8
-4438,6388,3.8
-4476,6426,3.9
-4553,6503,3.3
-4592,6542,3.6
-4669,6619,3.8
-4746,6696,3.7
-4784,6734,3.6
-4861,6811,3.6
-4900,6850,3
-4938,6888,2.4
-4977,6927,2.8
-5004,6954,3
-5032,6982,2.9
-5088,7038,3.3
-5116,7066,4.1
-5172,7122,4.5
-5228,7178,4.3
-5256,7206,4.9
-5311,7261,4.2
-5367,7317,3.9
-5395,7345,4.4
-5451,7401,3.9
-5507,7457,4.6
-5535,7485,4.5
-5590,7540,5
-5646,7596,4.2
-5674,7624,4.2
-5730,7680,4.2
-5786,7736,4.7
-5836,7786,4.7
-5858,7808,4.6
-5902,7852,4.9
-5947,7897,5.4
-5969,7919,5.6
-5991,7941,4.9
-6013,7963,4.6
-6035,7985,4.7
-6058,8008,5.3
-6080,8030,5.6
-6124,8074,4.5
-6146,8096,4.2
-6169,8119,4.1
-6191,8141,3.3
-6213,8163,3.3
-6235,8185,4
-6257,8207,4.1
-6280,8230,3.8
-6302,8252,5.2
-6353,8303,4.2
-6382,8332,4.6
-6440,8390,5.2
-6469,8419,4.9
-6526,8476,5.4
-6555,8505,4.6
-6584,8534,5.4
-6613,8563,5.6
-6671,8621,5.3
-6729,8679,5.1
-6758,8708,5.2
-6830,8780,5.6
-6888,8838,5.4
-6975,8925,3.3
-7075,9025,5.2
-7175,9125,5
-7275,9225,5.1
-7375,9325,5.3
-7475,9425,5.8
-7575,9525,6.2
-7675,9625,5.8
-7776,9726,6
-7876,9826,5.7
-7976,9926,6.1
-8076,10026,5.7
-8134,10084,6.4
-8191,10141,6.4
-8249,10199,5.7
-8306,10256,6
-8364,10314,5
-8421,10371,5.4
-8490,10440,4.1
-8679,10629,2.7
-8868,10818,2.2
-9057,11007,2.4
-9246,11196,1.9
-9435,11385,2
-9624,11574,1.9
-9813,11763,2.4
-10003,11953,2.1
