depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
30,305,17.329,3.729,10.079,1583.429
50,459,15.357,-0.714,6.94,1748.286
60,520,14.7,-0.486,6.693,1745.714
120,886,14.486,-0.529,6.495,1581.429
150,1146,15.257,-0.029,7.214,1652.429
180,1362,14.586,-0.714,6.496,1471.571
210,1611,14.871,-1.129,6.42,1750
230,1807,14.814,-0.514,6.662,1419.286
250,1984,15.057,2.714,8.41,1630.429
270,2200,14.629,-1.071,6.308,1626.714
290,2370,14.6,0.271,6.902,1902.714
310,2645,15.057,2.214,8.21,1745.857
330,2799,15.114,-1.329,6.538,1809
370,3176,14.757,-1.171,6.37,1749
400,3420,14.757,-1.171,6.37,1749
430,3657,15.014,-0.443,6.92,1729.857
460,3933,15.114,-1.329,6.538,1809
500,4351,15.114,-1.329,6.538,1809
530,4633,14.743,-1.671,6.12,1880
576,5273,15.114,-1.329,6.538,1809
620,5813,14.743,-1.671,6.12,1880
660,6327,15.957,4.043,9.54,1572.286
700,6826,15.357,-0.714,6.94,1748.286
740,7376,14.957,-0.529,6.78,1467
780,7755,15.071,0.386,7.313,1540.571
820,8288,15.514,0.871,7.85,1393.429
860,8915,15.757,0.643,7.839,1430.714
900,9554,15.314,0.157,7.302,1577.857
940,10372,15.757,0.643,7.839,1430.714
980,11253,NA,NA,NA,NA
1020,12472,NA,NA,NA,NA
1050,12900,NA,NA,NA,NA
1080,13251,NA,NA,NA,NA
1120,13834,NA,NA,NA,NA
1160,14838,NA,NA,NA,NA
1200,15493,NA,NA,NA,NA
1240,16228,NA,NA,NA,NA
1260,16876,NA,NA,NA,NA
1290,18099,NA,NA,NA,NA
1320,18908,NA,NA,NA,NA
1350,19608,NA,NA,NA,NA
1390,20772,NA,NA,NA,NA
1430,22307,NA,NA,NA,NA
1470,23991,NA,NA,NA,NA
1515,25804,NA,NA,NA,NA
1550,27418,NA,NA,NA,NA
1580,29286,NA,NA,NA,NA
1590,30116,NA,NA,NA,NA
1600,30798,NA,NA,NA,NA
1610,31397,NA,NA,NA,NA
1630,32584,NA,NA,NA,NA
1640,33169,NA,NA,NA,NA
1650,33881,NA,NA,NA,NA
1660,34719,NA,NA,NA,NA
1670,35502,NA,NA,NA,NA
1680,36266,NA,NA,NA,NA
1690,37092,NA,NA,NA,NA
1703,38158,NA,NA,NA,NA
1710,38716,NA,NA,NA,NA
1730,40286,NA,NA,NA,NA
1740,41028,NA,NA,NA,NA
1750,41738,NA,NA,NA,NA
1766,42848,NA,NA,NA,NA
1778,43674,NA,NA,NA,NA
1790,44515,NA,NA,NA,NA
1800,45222,NA,NA,NA,NA
