depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (1 sd),cal_age_range_old (bp),cal_age_range_young (2_s),thickness (mm),age_type (),lab_id (),material_dated (),note ()
1021,10210,10210,NA,NA,-43.5,-43.5,0,2,NA,NA,1
1062.5,10620,10630,1240,55,1476,1068,10,1,1,1,NA
1105.5,11050,11060,1955,75,2806,2290,10,1,2,1,NA
1191.75,11915,11920,4560,65,5470,4772,5,1,3,1,NA
1251.5,12510,12520,5875,65,7775,7215,10,1,4,1,NA
1310.5,13100,13110,8175,90,10174,9602,10,1,5,1,NA
1326.5,13260,13270,8920,75,10757,10247,10,1,6,1,NA
1339.5,13390,13400,9810,70,11247,10743,10,1,7,1,NA
